id,country,team,strategy 2,strategy 1,time,link,goal in first time,team that scored,Both scored,result in first time,result in all time
1,ИТАЛИЯ: Серия А,Кальяри - Ювентус,"{'КАЛЬЯРИ': 3, 'ЮВЕНТУС': 6}","{'КАЛЬЯРИ': 2.0, 'ЮВЕНТУС': 1.42}",02.04.2019 22:00,https://www.myscore.com.ua/match/fsI3q5ed/#match-summary
2,КОСТА-РИКА: Высший дивизион - Клаусура,Алахуэленсе - Греция,"{'АЛАХУЭЛЕНСЕ': 5, 'ГРЕЦИЯ': 6}","{'АЛАХУЭЛЕНСЕ': 1.5, 'ГРЕЦИЯ': 2.0}",02.04.2019 04:30,https://www.myscore.com.ua/match/IPlrLM9H/#match-summary
3,МАЛАЙЗИЯ: Кубок FA,ПДРМ ФА - Саравак ФА,"{'ПДРМ ФА': 1, 'САРАВАК ФА': 3}","{'ПДРМ ФА': 1.17, 'САРАВАК ФА': 2.33}",02.04.2019 11:15,https://www.myscore.com.ua/match/0dGownlh/#match-summary
4,МАЛАЙЗИЯ: Кубок FA,Келантан - Селангор,"{'КЕЛАНТАН': 4, 'СЕЛАНГОР': 4}","{'КЕЛАНТАН': 0.69, 'СЕЛАНГОР': 0.38}",02.04.2019 16:00,https://www.myscore.com.ua/match/6ZGsvSYo/#match-summary
5,НИДЕРЛАНДЫ: Высшая лига,Хераклес - Виллем II,"{'ХЕРАКЛЕС': 4, 'ВИЛЛЕМ II': 4}","{'ХЕРАКЛЕС': 0.3, 'ВИЛЛЕМ II': 0.68}",02.04.2019 20:45,https://www.myscore.com.ua/match/n58ffJjr/#match-summary
6,ПОРТУГАЛИЯ: Кубок Португалии,Брага - Порту,"{'БРАГА': 3, 'ПОРТУ': 7}","{'БРАГА': 0.77, 'ПОРТУ': 0.67}",02.04.2019 22:15,https://www.myscore.com.ua/match/rZbxoKXS/#match-summary
7,США: USL Championship,Tacoma Defiance - Сакраменто Репаблик,"{'TACOMA DEFIANCE': 5, 'САКРАМЕНТО РЕПАБЛИК': 6}","{'TACOMA DEFIANCE': 1.33, 'САКРАМЕНТО РЕПАБЛИК': 0.5}",02.04.2019 05:00,https://www.myscore.com.ua/match/t2S7krAB/#match-summary
8,ТУРЦИЯ: 1. Lig,Кардемир Карабюк - Аданаспор,"{'КАРДЕМИР КАРАБЮК': 1, 'АДАНАСПОР': 2}","{'КАРДЕМИР КАРАБЮК': 2.17, 'АДАНАСПОР': 1.07}",02.04.2019 16:00,https://www.myscore.com.ua/match/dYtimHVh/#match-summary
9,ШВЕЙЦАРИЯ: Первая лига,Шафхаузен - Винтертур,"{'ШАФХАУЗЕН': 3, 'ВИНТЕРТУР': 4}","{'ШАФХАУЗЕН': 2.82, 'ВИНТЕРТУР': 1.33}",02.04.2019 21:00,https://www.myscore.com.ua/match/MLP3QIro/#match-summary
10,ШОТЛАНДИЯ: Первая лига,Дамбартон - Эйрдрионианс,"{'ДАМБАРТОН': 5, 'ЭЙРДРИОНИАНС': 4}","{'ДАМБАРТОН': 5.2, 'ЭЙРДРИОНИАНС': 0.62}",02.04.2019 21:45,https://www.myscore.com.ua/match/Ao4v9PlT/#match-summary
