id,country,team,strategy 2,strategy 1,time,link,goal in first time,team that scored,Both scored,result in first time,result in all time
1,АРГЕНТИНА: Суперлига,Расинг - Дефенса и Хустисия,"{'РАСИНГ': 7, 'ДЕФЕНСА И ХУСТИСИЯ': 2}","{'РАСИНГ': 0.75, 'ДЕФЕНСА И ХУСТИСИЯ': 0.5}",08.04.2019 00:30,https://www.myscore.com.ua/match/hriVeFo0/#match-summary,No,0,2,"{'Расинг': 0, 'Дефенса и Хустисия': 0}","{'Расинг': 1, 'Дефенса и Хустисия': 1}"
2,БЕЛЬГИЯ: Высшая лига - Чемпионшип - плей-офф,Брюгге - Стандард,"{'БРЮГГЕ': 6, 'СТАНДАРД': 4}","{'БРЮГГЕ': 0.33, 'СТАНДАРД': 0.57}",08.04.2019 21:30,https://www.myscore.com.ua/match/veaGHxFk/#match-summary,Yes,Брюгге,3,"{'Брюгге': 2, 'Стандард': 0}","{'Брюгге': 3, 'Стандард': 0}"
3,ГОНКОНГ: Премьер-лига,Китчи - Саутерн Дистрикт,"{'КИТЧИ': 7, 'САУТЕРН ДИСТРИКТ': 6}","{'КИТЧИ': 0.62, 'САУТЕРН ДИСТРИКТ': 0.29}",08.04.2019 15:00,https://www.myscore.com.ua/match/E3pEAeZK/#match-summary,Yes,Китчи,2,"{'Китчи': 1, 'Саутерн Дистрикт': 0}","{'Китчи': 1, 'Саутерн Дистрикт': 1}"
4,КОЛУМБИЯ: Примера - Апертура,Мильонариос - Кукута,"{'МИЛЬОНАРИОС': 3, 'КУКУТА': 4}","{'МИЛЬОНАРИОС': 0.62, 'КУКУТА': 0.62}",08.04.2019 04:00,https://www.myscore.com.ua/match/hvi6EKMC/#match-summary,Yes,Мильонариос,1,"{'Мильонариос': 1, 'Кукута': 0}","{'Мильонариос': 1, 'Кукута': 0}"
5,КОСТА-РИКА: Высший дивизион - Клаусура,Греция - Лимон,"{'ГРЕЦИЯ': 5, 'ЛИМОН': 4}","{'ГРЕЦИЯ': 4.5, 'ЛИМОН': 3.17}",08.04.2019 00:05,https://www.myscore.com.ua/match/GKG8yrfb/#match-summary,No,0,0,"{'Греция': 0, 'Лимон': 0}","{'Греция': 0, 'Лимон': 0}"
6,НИКАРАГУА: Примера - Клаусура,Халапа - ФК Манагуа,"{'ХАЛАПА': 5, 'ФК МАНАГУА': 4}","{'ХАЛАПА': 1.6, 'ФК МАНАГУА': 0.62}",08.04.2019 00:00,https://www.myscore.com.ua/match/vJJRpH0p/#match-summary,Yes,Халапа,4,"{'Халапа': 1, 'ФК Манагуа': 1}","{'Халапа': 2, 'ФК Манагуа': 1}"
7,НОРВЕГИЯ: Высшая лига,Русенборг - Одд,"{'РУСЕНБОРГ': 4, 'ОДД': 6}","{'РУСЕНБОРГ': 0.33, 'ОДД': 0.17}",08.04.2019 20:00,https://www.myscore.com.ua/match/Cx7g6B6A/#match-summary,Yes,Русенборг,2,"{'Русенборг': 1, 'Одд': 0}","{'Русенборг': 1, 'Одд': 1}"
8,ПЕРУ: Liga 1 - Апертура,Гарсиласо - Альянса Лима,"{'ГАРСИЛАСО': 6, 'АЛЬЯНСА ЛИМА': 4}","{'ГАРСИЛАСО': 0.75, 'АЛЬЯНСА ЛИМА': 2.25}",07.04.2019 23:30,https://www.myscore.com.ua/match/KrrNz9Rk/#match-summary,Yes,Альянса Лима,3,"{'Гарсиласо': 0, 'Альянса Лима': 1}","{'Гарсиласо': 2, 'Альянса Лима': 1}"
9,РОССИЯ: Премьер-лига,Оренбург - Ахмат,"{'ОРЕНБУРГ': 6, 'АХМАТ': 5}","{'ОРЕНБУРГ': 1.25, 'АХМАТ': 0.75}",08.04.2019 17:00,https://www.myscore.com.ua/match/lEWgPC76/#match-summary,Yes,Оренбург,4,"{'Оренбург': 1, 'Ахмат': 1}","{'Оренбург': 1, 'Ахмат': 3}"
10,ТУРЦИЯ: Суперлига,Ризеспор - Бешикташ,"{'РИЗЕСПОР': 7, 'БЕШИКТАШ': 6}","{'РИЗЕСПОР': 0.68, 'БЕШИКТАШ': 3.25}",08.04.2019 20:00,https://www.myscore.com.ua/match/4flWhFRG/#match-summary,Yes,Ризеспор,9,"{'Ризеспор': 1, 'Бешикташ': 2}","{'Ризеспор': 2, 'Бешикташ': 7}"
11,ФИНЛЯНДИЯ: Высшая лига,ВПС - Интер Турку,"{'ВПС': 2, 'ИНТЕР ТУРКУ': 6}","{'ВПС': 1.58, 'ИНТЕР ТУРКУ': 1.6}",08.04.2019 18:30,https://www.myscore.com.ua/match/MT35gVuF/#match-summary,Yes,Интер Турку,3,"{'ВПС': 0, 'Интер Турку': 1}","{'ВПС': 1, 'Интер Турку': 1}"
