id,country,team,strategy 2,strategy 1,time,link,goal in first time,team that scored,Both scored,result in first time,result in all time
1,ГЕРМАНИЯ: Северо-восточная региональная лига,Оберлаузитц - Герта II,"{'ОБЕРЛАУЗИТЦ': 5, 'ГЕРТА II': 7}","{'ОБЕРЛАУЗИТЦ': 3.25, 'ГЕРТА II': 0.83}",13.03.2019 17:00,https://www.myscore.com.ua/match/raONO82o/#match-summary
2,ИНДОНЕЗИЯ: Кубок Президента,Барито Путра - Персела Ламонган,"{'БАРИТО ПУТРА': 5, 'ПЕРСЕЛА ЛАМОНГАН': 5}","{'БАРИТО ПУТРА': 4.75, 'ПЕРСЕЛА ЛАМОНГАН': 0.5}",13.03.2019 10:30,https://www.myscore.com.ua/match/Y7gb1oPG/#match-summary
3,ИНДОНЕЗИЯ: Кубок Президента,Арема - Персита,"{'АРЕМА': 4, 'ПЕРСИТА': 4}","{'АРЕМА': 0.64, 'ПЕРСИТА': 0.88}",13.03.2019 13:30,https://www.myscore.com.ua/match/0GMRqJgq/#match-summary
4,КОЛУМБИЯ: Кубок Колумбии,Форталеза - Мильонариос,"{'ФОРТАЛЕЗА': 6, 'МИЛЬОНАРИОС': 4}","{'ФОРТАЛЕЗА': 1.83, 'МИЛЬОНАРИОС': 1.0}",13.03.2019 22:00,https://www.myscore.com.ua/match/tMjRJ9FC/#match-summary
5,КОЛУМБИЯ: Кубок Колумбии,Real San Andres - Реал Картахена,"{'REAL SAN ANDRES': 5, 'РЕАЛ КАРТАХЕНА': 6}","{'REAL SAN ANDRES': 1.25, 'РЕАЛ КАРТАХЕНА': 1.25}",13.03.2019 22:30,https://www.myscore.com.ua/match/f5f1jsji/#match-summary
6,МИР: Клубные товарищеские матчи,Сарпсборг 08 (Нор) - Конгсвингер (Нор),"{'САРПСБОРГ 08': 6, 'КОНГСВИНГЕР': 5}","{'САРПСБОРГ 08': 0.17, 'КОНГСВИНГЕР': 2.58}",13.03.2019 18:30,https://www.myscore.com.ua/match/SOomKdp6/#match-summary
7,НИКАРАГУА: Примера - Клаусура,Дирианген - Окоталь,"{'ДИРИАНГЕН': 6, 'ОКОТАЛЬ': 6}","{'ДИРИАНГЕН': 1.38, 'ОКОТАЛЬ': 2.0}",13.03.2019 23:00,https://www.myscore.com.ua/match/nRscq4Pu/#match-summary
8,ЮЖНАЯ АФРИКА: Премьер,Барока - Голден Арроус,"{'БАРОКА': 5, 'ГОЛДЕН АРРОУС': 5}","{'БАРОКА': 0.54, 'ГОЛДЕН АРРОУС': 0.67}",13.03.2019 19:30,https://www.myscore.com.ua/match/rTPW48jJ/#match-summary
